جنت آباد,نرسيده به لاله,35.72781,51.384003
-,شهرك صنعتي 4 دانگه,35.67765,51.362085
شريعتي,بر شريعتي,35.752489,51.448719
کاشانی,نجف زاده,35.748066,51.284997
شهرآراء,مجتمع كوشك,35.714535,51.372523
سعادت آباد,خ 11,35.78301,51.374647
شهرك غرب,فاز 6,35.75632,51.375549
کاشانی,ميدان نور,35.747038,51.2868
نياوران,خداوردي,35.784994,51.462581
کاشانی,گلدشت,35.748153,51.284311
سعادت آباد,خ 31,35.772652,51.377201
صادقيه,بوستان 1 شرقي,35.756827,51.345582
جنت آباد,بهارستان 20,35.733906,51.378402
جنت آباد,بهارستان 26,35.736414,51.377244
ازگل,طلوعي,35.790007,51.510947
جنت آباد,بهارستان 19,35.73307,51.377094
کاشانی,بوستان 4,35.742231,51.291799
سهروردی جنوبی,برخيابان,35.721152,51.434036
شريعتي,ميثاق 5,35.761126,51.442818
مطهري,روبروي باشگاه بانك سپه,35.828583,50.996706
کريمخان,مجتمع بهجت آباد,35.715423,51.417563
ونك,توانير,35.747857,51.411683
-,كميل,35.830587,50.995247
فرمانيه,حاجي پورامير (پاك شمالي),35.780938,51.464126
اختياريه,بعد از افشاري,35.783219,51.464019
فرشته,4 راه حسابي,35.76137,51.311047
شمس آباد,ميدان شريفي,35.625343,51.356871
اشرفي اصفهاني,بابازاده,35.745439,50.947289
جنت آباد,خ 3 غربي,35.740068,51.280972
شهران,حاج شعبان علي,35.769454,51.275965
پونك,بالاتر از ميدان پونك,,
نياوران,منظريه 2,35.782644,51.463389
جنت آباد,سيمون بوليوار,35.726391,51.38436
پاسداران,نارنجستان 12,35.761453,51.456002
-,تهرانسر,35.736673,51.29772
یوسف آباد,خ 19,35.730861,51.403369
عباس آباد,عبادي,35.730376,51.427021
وليعصر,سه راه بهشتي,35.730711,51.428523
شريعتي,روبروي پارك شريعتي,35.754249,51.448537
نياوران,شفيعي,35.782644,51.463389
اميرآباد,مستعلي,35.737734,51.432704
سعادت آباد,خ 29,35.786327,51.381104
ستارخان,حجت,35.72125,51.36277
سعادت آباد,ايثارگران شمالي,35.786327,51.381104
مجيديه,صالحي,35.655314,51.324391
نياوران,مهدي زاده,35.782644,51.463389
شيخ بهائي,خ21 شرقي,,
-,شهرك ساحل,35.73918,51.264098
پاسداران,بهارستان 9,35.768296,51.459392
فرشته,خزر,35.764805,51.308363
شريعتي,ميثاق 4,35.754249,51.448537
خواجه عبدالله,خ 14,35.747317,51.451882
ستارخان,غلامي,35.712789,51.357726
فرشته,بر خيابان,35.764805,51.308363
دزاشیب,روبروي آتش نشانی,35.807824,51.453273
زعفرانيه,شارستان 7 شرقي,35.803356,51.420176
نياوران,مرجان,35.787525,51.432633
پاسداران,اميرابراهيمي,35.762746,51.458116
زعفرانيه,طاهري,35.791544,51.39268
-,كن,35.760623,51.27704
سعادت آباد,خ 25,35.782863,51.384253
